timestep,gt_policy_id,pred_policy_id,confidence,entropy
0.000000,0,-1,,
0.033333,0,-1,,
0.066667,0,-1,,
0.100000,0,-1,,
0.133333,0,-1,,
0.166667,0,-1,,
0.200000,0,-1,,
0.233333,0,-1,,
0.266667,0,-1,,
0.300000,0,-1,,
0.333333,0,-1,,
0.366667,0,-1,,
0.400000,0,-1,,
0.433333,0,-1,,
0.466667,0,-1,,
0.500000,0,0,0.710814,0.601421
0.533333,0,0,0.710814,0.601421
0.566667,0,0,0.996848,0.021300
0.600000,0,1,0.865839,0.394221
0.633333,0,1,0.983801,0.082852
0.666667,0,0,0.999997,0.000043
0.700000,0,0,0.999997,0.000037
0.733333,0,0,0.999997,0.000037
0.766667,0,0,0.999985,0.000188
0.800000,0,0,1.000000,0.000000
0.833333,0,0,1.000000,0.000000
0.866667,0,0,0.995165,0.030603
0.900000,0,0,1.000000,0.000001
0.933333,0,0,0.999441,0.004747
0.966667,0,0,0.999722,0.002556
1.000000,0,0,0.999660,0.003054
1.033333,0,0,0.999127,0.007021
1.066667,0,0,0.999873,0.001267
1.100000,0,0,0.795019,0.507231
1.133333,0,0,0.999833,0.001619
1.166667,0,0,0.969368,0.136932
1.200000,0,0,0.972498,0.125947
1.233333,0,0,0.999575,0.003725
1.266667,0,0,0.999843,0.001530
1.300000,0,0,0.996907,0.020961
1.333333,0,0,0.999165,0.006755
1.366667,0,0,0.999997,0.000045
1.400000,0,0,0.979156,0.101306
1.433333,0,0,0.977028,0.109391
1.466667,0,0,0.999849,0.001480
1.500000,0,0,0.998243,0.012902
1.533333,0,0,0.991740,0.047844
1.566667,0,0,1.000000,0.000003
1.600000,0,0,1.000000,0.000001
1.633333,0,0,0.999990,0.000128
1.666667,0,0,0.999876,0.001243
1.700000,0,0,1.000000,0.000000
1.733333,0,0,0.999978,0.000262
1.766667,0,0,0.999920,0.000839
1.800000,0,0,0.999862,0.001360
1.833333,0,0,0.932639,0.246760
1.866667,0,0,0.723076,0.590025
1.900000,0,0,0.999348,0.005437
1.933333,0,0,0.992224,0.045513
1.966667,0,0,0.996863,0.021215
2.000000,0,0,0.999905,0.000975
2.033333,0,0,1.000000,0.000008
2.066667,0,0,0.999997,0.000045
2.100000,0,0,0.999698,0.002748
2.133333,0,0,0.993175,0.040840
2.166667,0,0,0.874673,0.377407
2.200000,0,0,0.999802,0.001888
2.233333,0,1,0.725028,0.588142
2.266667,0,0,1.000000,0.000000
2.300000,0,0,1.000000,0.000008
2.333333,0,0,0.999052,0.007547
2.366667,0,0,0.999989,0.000135
2.400000,0,0,0.999984,0.000197
2.433333,0,0,1.000000,0.000002
2.466667,0,0,1.000000,0.000000
2.500000,0,0,0.999920,0.000839
2.533333,0,0,0.998926,0.008418
2.566667,0,0,0.751600,0.560571
2.600000,0,0,0.997375,0.018224
2.633333,0,0,0.965075,0.151467
2.666667,0,0,0.992467,0.044328
2.700000,0,0,0.915223,0.290283
2.733333,0,0,0.999999,0.000016
2.766667,0,0,1.000000,0.000008
2.800000,0,0,0.999997,0.000045
2.833333,0,0,0.999698,0.002748
2.866667,0,0,0.998744,0.009644
2.900000,0,0,0.999201,0.006496
2.933333,0,0,0.999747,0.002345
2.966667,0,0,0.999672,0.002962
3.000000,0,0,0.999998,0.000027
3.033333,0,0,0.999997,0.000044
3.066667,0,0,0.999998,0.000029
3.100000,0,0,1.000000,0.000003
3.133333,0,0,0.999989,0.000135
3.166667,0,0,0.999876,0.001243
3.200000,0,0,0.999461,0.004597
3.233333,0,0,1.000000,0.000002
3.266667,0,0,0.998208,0.013122
3.300000,0,0,0.999032,0.007687
3.333333,0,0,0.996771,0.021742
3.366667,0,0,0.978588,0.103484
3.400000,0,0,0.998017,0.014322
3.433333,0,0,0.936400,0.236760
3.466667,0,0,0.967792,0.142334
3.500000,0,1,0.644561,0.650749
3.533333,0,0,0.627893,0.660068
3.566667,0,0,0.999994,0.000081
3.600000,0,0,0.999791,0.001982
3.633333,0,0,0.999996,0.000049
3.666667,0,0,0.942025,0.221358
3.700000,0,0,1.000000,0.000000
3.733333,0,0,0.999999,0.000009
3.766667,0,0,0.947941,0.204535
3.800000,1,0,0.999931,0.000730
3.833333,1,1,0.856768,0.410787
3.866667,1,1,0.632260,0.657742
3.900000,1,0,0.891463,0.343445
3.933333,1,0,0.717892,0.594933
3.966667,1,0,0.717892,0.594933
4.000000,1,1,0.991332,0.049787
4.033333,1,0,0.580681,0.680071
4.066667,1,0,0.999968,0.000366
4.100000,1,0,0.670222,0.634021
4.133333,1,1,0.689117,0.619805
4.166667,1,0,0.999715,0.002612
4.200000,1,0,0.586965,0.677944
4.233333,1,0,0.760596,0.550392
4.266667,1,0,0.760596,0.550392
4.300000,1,0,0.715542,0.597114
4.333333,1,0,0.988291,0.063713
4.366667,1,0,0.531335,0.691182
4.400000,1,1,0.665374,0.637407
4.433333,1,0,0.600736,0.672712
4.466667,1,0,0.908816,0.305269
4.500000,1,0,0.908816,0.305269
4.533333,1,1,0.944219,0.215198
4.566667,1,1,0.944219,0.215198
4.600000,1,0,0.803261,0.495848
4.633333,1,1,0.589248,0.677131
4.666667,1,1,0.999593,0.003584
4.700000,1,1,0.997245,0.018989
4.733333,1,1,0.999992,0.000097
4.766667,1,1,0.999999,0.000015
4.800000,1,1,1.000000,0.000005
4.833333,1,1,1.000000,0.000005
4.866667,1,1,1.000000,0.000001
4.900000,1,1,1.000000,0.000001
4.933333,1,1,1.000000,0.000000
4.966667,1,1,1.000000,0.000000
5.000000,1,1,0.999997,0.000039
5.033333,1,1,1.000000,0.000000
5.066667,1,1,1.000000,0.000000
5.100000,1,1,1.000000,0.000000
5.133333,1,1,1.000000,0.000002
5.166667,1,1,1.000000,0.000002
5.200000,1,1,1.000000,0.000002
5.233333,1,1,1.000000,0.000002
5.266667,1,1,1.000000,0.000002
5.300000,1,1,1.000000,0.000002
5.333333,1,1,1.000000,0.000000
5.366667,1,1,1.000000,0.000000
5.400000,1,1,1.000000,0.000000
5.433333,1,1,1.000000,0.000000
5.466667,1,1,1.000000,0.000000
5.500000,1,1,1.000000,0.000000
5.533333,1,1,1.000000,0.000000
5.566667,1,1,1.000000,0.000000
5.600000,1,1,1.000000,0.000000
5.633333,1,1,1.000000,0.000000
5.666667,1,1,1.000000,0.000000
5.700000,1,1,1.000000,0.000000
5.733333,1,1,1.000000,0.000000
5.766667,1,1,1.000000,0.000000
5.800000,1,1,1.000000,0.000000
5.833333,1,1,1.000000,0.000000
5.866667,1,1,1.000000,0.000000
5.900000,1,1,1.000000,0.000000
5.933333,1,1,1.000000,0.000000
5.966667,1,1,1.000000,0.000000
6.000000,1,1,1.000000,0.000000
6.033333,1,1,1.000000,0.000000
6.066667,1,1,1.000000,0.000000
6.100000,1,1,1.000000,0.000000
6.133333,1,1,0.886437,0.353901
6.166667,1,1,0.886437,0.353901
6.200000,1,1,0.999945,0.000595
6.233333,1,1,0.999945,0.000595
6.266667,1,1,0.999985,0.000179
6.300000,1,1,1.000000,0.000000
6.333333,1,1,1.000000,0.000000
6.366667,1,1,0.999993,0.000087
6.400000,1,1,0.999993,0.000087
6.433333,1,1,0.999993,0.000087
6.466667,1,1,1.000000,0.000000
6.500000,1,1,0.999879,0.001209
6.533333,1,1,0.999879,0.001209
6.566667,1,1,0.999879,0.001209
6.600000,1,1,1.000000,0.000000
6.633333,1,1,1.000000,0.000000
6.666667,1,1,1.000000,0.000000
6.700000,1,1,1.000000,0.000000
6.733333,1,1,1.000000,0.000000
6.766667,1,1,0.998364,0.012130
6.800000,1,1,1.000000,0.000000
6.833333,1,1,1.000000,0.000000
6.866667,1,1,1.000000,0.000000
6.900000,1,1,1.000000,0.000000
